"edi_version","date"
"edi.1497.0","5/12/2023"
"edi.1497.1","3/19/2024"
"edi.1497.2","2024-04-03"
"edi.1497.3","2024-04-14"
"edi.1497.4","2024-05-22"
"edi.1497.5","2024-05-22"
"edi.1497.6","2024-05-24"
"edi.1497.7","2024-05-24"
"edi.1497.8","2024-05-30"
"edi.1497.9","2024-05-30"
"edi.1497.10","2024-05-30"
"edi.1497.11","2024-05-30"
"edi.1497.12","2024-05-30"
"edi.1497.13","2024-06-17"
"edi.1497.14","2024-07-29"
"edi.1497.15","2025-01-28"
"edi.1497.16","2025-03-12"
"edi.1497.17","2025-03-26"
"edi.1497.18","2025-04-23"
"edi.1497.19","2025-05-23"
"edi.1497.20","2025-08-12"
"edi.1497.21","2025-08-13"
"edi.1497.22","2025-08-13"
"edi.1497.23","2025-09-30"
"edi.1497.24","2025-09-30"
"edi.1497.25","2025-10-10"
